EnsemblGeneID	EnsemblTranscriptID	EnsemblProteinID	Adrenal_iBAQ	Appendices_iBAQ	Brain_iBAQ	Colon_iBAQ	Duodenum_iBAQ	Endometrium_iBAQ	Esophagus_iBAQ	Fallopiantube_iBAQ	Fat_iBAQ	Gallbladder_iBAQ	Heart_iBAQ	Kidney_iBAQ	Liver_iBAQ	Lung_iBAQ	Lymphnode_iBAQ	Ovary_iBAQ	Pancreas_iBAQ	Placenta_iBAQ	Prostate_iBAQ	Rectum_iBAQ	Salivarygland_iBAQ	Smallintestine_iBAQ	Smoothmuscle_iBAQ	Spleen_iBAQ	Stomach_iBAQ	Testis_iBAQ	Thyroid_iBAQ	Tonsil_iBAQ	Urinarybladder_iBAQ
ENSG00000102178	ENST00000369660	ENSP00000358674	119420000	8932800	266590000	31441000	222540000	87921000	86957000	73843000	46174000	51751000	152300000	29668000	43362000	105910000	58744000	97854000	307250000	127990000	11579000	59386000	91358000	80167000	28476000	65519000	26876000	14952000	67406000	66106000	17641000
ENSG00000102181	ENST00000355149	ENSP00000347275	20957000	964250	388530000	8432800	48791000	15848000	14321000	16299000	32217000	8171000	30204000	16089000	25223000	13938000	19886000	19513000	0	62796000	8326700	40659000	25406000	3853900	21214000	9364900	9265100	17632000	2971500	12885000	3490800
ENSG00000102181	ENST00000634795	ENSP00000489166	0	0	16568000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000102189	ENST00000322349	ENSP00000317955	112960000	38951000	314930000	132070000	299670000	194670000	243990000	89005000	114690000	344800000	178380000	71835000	105150000	189470000	101200000	136620000	89953000	401470000	49883000	158880000	187640000	190100000	134190000	155480000	74876000	77515000	70850000	110170000	76395000
ENSG00000102218	ENST00000218340	ENSP00000218340	35566000	11471000	166420000	5531100	126460000	17371000	38562000	26405000	17661000	60672000	16099000	19483000	68024000	28161000	20071000	4963100	7116700	193110000	10277000	38208000	5045500	40537000	13253000	27631000	10263000	34835000	7989600	37808000	8769700
ENSG00000102221	ENST00000614628	ENSP00000481850	376880	0	861560	0	1198800	486280	1345000	23189	0	7719.6	718900	0	536660	318270	0	102780	607410	2165800	147220	603340	0	1386000	0	0	0	1483600	117230	440200	0
ENSG00000102225	ENST00000518022	ENSP00000429751	0	603580	5063100	133230	515240	0	0	445050	3376600	0	0	2968700	0	821050	464620	0	0	3397600	0	0	0	0	889760	0	0	3513600	2247700	0	429170
ENSG00000102226	ENST00000218348	ENSP00000218348	3727900	4701500	42227000	1385100	11576000	6368600	11515000	6370800	796870	2521300	4417400	1163100	3509200	13100000	12036000	2480700	760940	8757500	1424200	6864400	2002400	5191900	3990000	1916300	950260	84039000	1752300	17731000	4191200
ENSG00000102230	ENST00000356768	ENSP00000349211	0	0	4655600	0	223530	0	0	59821	0	0	274660	0	0	965140	0	0	0	0	0	0	0	195270	71230	0	0	1946100	69794	0	31790
ENSG00000102230	ENST00000496020	ENSP00000436562	0	0	2647400	0	0	0	0	0	0	0	0	0	0	1443000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000102241	ENST00000535601	ENSP00000442699	32339000	3419600	32620000	9805000	307290000	12736000	11764000	24589000	7248100	20200000	22760000	8655800	17456000	27364000	22512000	20018000	18134000	26603000	4673400	12921000	9989200	249700000	6087100	8399300	7868200	37850000	9634800	24214000	4084000
ENSG00000102243	ENST00000370634	ENSP00000359668	0	0	2655900	0	0	0	0	0	233570	0	5237700	0	0	0	0	0	0	16670000	0	0	0	0	0	0	0	0	0	0	921200
ENSG00000102265	ENST00000377017	ENSP00000366216	30529000	37281000	10326000	22481000	57155000	12675000	67519000	12823000	52063000	338640000	14379000	2567500	2616200	384130000	16036000	34446000	89344000	92447000	86913000	45130000	98621000	3108600	17989000	29921000	68690000	203130000	2435900	6416800	30885000
ENSG00000102271	ENST00000373119	ENSP00000362211	12756000	110120	3048300	353200	0	1720700	219040	0	217430	2488600	0	0	108830	69301	0	1768400	0	0	0	301050	21236	170260	1138400	128970	370630	6522600	0	222430	73741
ENSG00000102302	ENST00000375135	ENSP00000364277	0	0	1646500	0	1832000	1137700	0	228960	0	528860	0	2313600	0	489450	0	147500	0	0	0	80330	0	0	72754	0	0	0	0	0	8618.9
ENSG00000102309	ENST00000373669	ENSP00000362773	41859000	11610000	365590000	76206000	121350000	107830000	149790000	211830000	4262200	22067000	41352000	27607000	113680000	450840000	31804000	14264000	174810000	169040000	18989000	147860000	51380000	116390000	117670000	54307000	141460000	14084000	61223000	75019000	8842000
ENSG00000102312	ENST00000355092	ENSP00000347207	0	0	4495400	0	0	1196500	1793500	0	0	0	0	140660	0	127570	0	0	0	16754000	108590	622230	0	270340	0	0	0	773960	0	0	1096400
ENSG00000102316	ENST00000396224	ENSP00000379526	29164000	2108200	58438000	15656000	32391000	61180000	26248000	40104000	6684300	36277000	57917000	47196000	6110700	71779000	15842000	33984000	25918000	53075000	5433400	32097000	14520000	36920000	8894600	12453000	11006000	102760000	19006000	18882000	5323200
ENSG00000102317	ENST00000376759	ENSP00000365950	226940000	109750000	526150000	73430000	901530000	306600000	415110000	306290000	66723000	297880000	682280000	101200000	77595000	856670000	404580000	862670000	265130000	1017800000	254650000	211940000	271370000	247350000	223330000	304420000	183940000	658780000	292200000	1.143e+09	102110000
ENSG00000102359	ENST00000373004	ENSP00000362095	2515900	187220	3441400	4321700	20953000	11809000	15844000	5219600	10821000	29833000	50865000	2721300	810880	15830000	3122500	4319900	2718400	26889000	1850100	10855000	2062000	6758000	20259000	749660	4992300	2129700	0	1484900	3278800
ENSG00000102362	ENST00000372989	ENSP00000362080	18416000	0	56002000	13182000	8430800	31941000	2280400	7424700	2237000	6043800	6960000	4202600	21300000	3268700	8649400	2767000	10334000	6432400	7492600	28961000	25464000	6528400	15352000	37834000	7810600	12947000	13202000	500230	2087800
ENSG00000102384	ENST00000372926	ENSP00000362017	0	0	0	0	0	0	0	0	0	0	0	0	0	95660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000102387	ENST00000372907	ENSP00000361998	0	521750	563650	5587400	29152000	170390	2167300	0	0	1666900	12471000	2535900	0	776510	50014	16660000	0	2065100	9775900	0	602400	15757000	5921200	0	2427100	66298000	0	0	0
ENSG00000102390	ENST00000373358	ENSP00000362456	86757000	33877000	346970000	106750000	1011400000	173860000	274320000	153120000	34629000	355350000	169540000	64501000	121410000	380860000	143110000	213180000	212990000	207350000	52014000	275850000	93280000	482250000	143450000	139040000	107470000	170100000	98925000	152850000	70651000
ENSG00000102393	ENST00000218516	ENSP00000218516	269650000	1270800	9666400	9581100	131680000	25340000	15968000	34551000	11636000	54064000	7225200	35962000	27034000	73703000	8164700	40263000	13641000	29031000	6801700	30595000	20573000	30336000	6653000	11729000	5552900	58598000	31734000	3840500	9001900
ENSG00000102401	ENST00000471229	ENSP00000454483	25375000	1990500	72030000	11657000	100470000	18653000	16459000	8036400	4902200	19076000	18643000	5289400	7894200	62626000	2460000	7183300	76588000	39721000	7706300	21194000	32425000	40428000	3861300	32226000	6995700	35627000	23300000	15819000	4625100
ENSG00000102445	ENST00000429979	ENSP00000396935	1735000	0	0	64297	0	805560	1027200	0	0	0	0	1552300	0	9302.5	0	0	0	280220	0	0	0	0	75131	0	146480	307320	0	1007100	0
ENSG00000102524	ENST00000430559	ENSP00000389540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179180	0
ENSG00000102531	ENST00000398316	ENSP00000381362	12455000	1395500	27248000	4526800	51320000	24901000	31004000	9399600	4857300	25816000	2587500	85713000	37423000	33784000	4869600	5813600	52383000	189710000	36461000	12497000	75114000	36872000	16480000	7326000	12495000	14328000	86715000	10574000	4464200
ENSG00000102539	ENST00000218721	ENSP00000218721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494410	0	0
ENSG00000102543	ENST00000251108	ENSP00000251108	0	0	0	0	731590	0	0	0	0	0	0	1928200	0	0	0	0	0	0	109200	0	0	0	148040	0	0	0	2252000	0	0
ENSG00000102547	ENST00000610540	ENSP00000479669	50693000	1262400	149500000	45173000	590870000	6971500	27763000	12254000	5198900	6463800	13458000	17826000	71960000	3611300	879690	74354	12902000	113110000	27082000	42203000	43038000	59229000	26905000	1563300	11124000	6579300	3522500	2475000	11022000
ENSG00000102554	ENST00000377687	ENSP00000366915	316770	0	0	8037600	33907000	0	327720	1552300	0	1922400	0	0	0	5484500	503400	1558000	0	2529100	409570	8982600	856950	23442000	0	0	1844800	188760	508810	2555800	3250000
ENSG00000102572	ENST00000397517	ENSP00000380651	0	0	0	70801	0	0	0	0	310910	0	0	0	0	75826	0	586960	0	0	34155	0	0	162480	0	0	45317	0	0	190720	0
ENSG00000102572	ENST00000539966	ENSP00000442539	47097000	20271000	186800000	84728000	547960000	152480000	151060000	84636000	27506000	171300000	147240000	111170000	77436000	234780000	131530000	112610000	79925000	210930000	32389000	216640000	153060000	345220000	117750000	147980000	67568000	315190000	108730000	217300000	64314000
ENSG00000102575	ENST00000592828	ENSP00000468767	2769900	0	1087900	586020	30113000	753830	7745500	1029300	662970	13878000	405310	3906500	8024100	30614000	6807500	3457700	60445	1765600	2856600	15011000	1569000	25452000	2203500	3349200	2177800	1128400	0	9509400	2667000
ENSG00000102580	ENST00000602402	ENSP00000473631	106440000	13802000	191520000	65559000	507850000	96607000	126360000	126290000	77092000	241470000	180350000	55168000	207830000	266500000	24647000	72180000	1.057e+09	323370000	22739000	132550000	181520000	343890000	31878000	49993000	119990000	77601000	443300000	108410000	33846000
ENSG00000102595	ENST00000376747	ENSP00000365938	816030	18977	1289800	85861	553720	3942600	1433500	401940	270680	304500	759630	795520	0	1025400	116920	139080	1354900	1747500	175230	89142	153980	556780	333080	113000	183330	7061500	1218900	98652	147130
ENSG00000102606	ENST00000218789	ENSP00000218789	182420000	8551000	259590000	29643000	214300000	61664000	57617000	26137000	20430000	56860000	60458000	41864000	37148000	51248000	58467000	91766000	16217000	141800000	10037000	56687000	32093000	143390000	24348000	73035000	23603000	104890000	32325000	85817000	14480000
ENSG00000102606	ENST00000317133	ENSP00000325994	0	0	4574100	0	0	380450	0	0	0	0	1725000	1058100	0	306470	0	0	0	693750	1265400	0	0	0	0	518080	0	0	0	0	0
ENSG00000102606	ENST00000375739	ENSP00000364891	268010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394250	0	0	0	0	0	390840	0	0	0	0	0
ENSG00000102683	ENST00000218867	ENSP00000218867	595110	39672	0	321250	749850	293740	2295800	119580	10211000	0	1063800000	0	663390	146420	1057500	1307600	61493	694230	772570	2207000	1398800	456940	354250	0	761770	1555000	167450	159790	163660
